LocMention,LocEvent,EventRootCode,NumberOfInterMentions,AverageTone
AA,AA,01,0.046413502109704644,0.002980332589670733
AA,AA,02,0.0379746835443038,0.0016267369570284432
AA,AA,03,0.0759493670886076,0.017648952674968337
AA,AA,04,0.1729957805907173,0.017459266138646155
AA,AA,05,0.10970464135021098,0.016865970553370607
AA,AA,06,0.008438818565400843,0.017108597265754474
AA,AA,07,0.02531645569620253,0.010553286016116013
AA,AA,08,0.03375527426160337,0.01806945257310394
AA,AA,09,0.012658227848101266,0.0027587689060552647
AA,AA,10,0.016877637130801686,0.012500509119522196
AA,AA,11,0.03375527426160337,0.006961961739314779
AA,AA,12,0.016877637130801686,0.002426770547172152
AA,AA,14,0.004219409282700422,0.030138637733574426
AA,AA,17,0.012658227848101266,0.0086597115037118
AE,AA,01,0.16033755274261605,0.0030709462135796685
AE,AA,02,0.15611814345991562,0.005235703576189192
AE,AA,03,0.14767932489451477,0.010330994480295085
AE,AA,04,0.28270042194092826,0.00824815230931314
AE,AA,05,0.11814345991561181,0.017346525199094586
AE,AA,06,0.03375527426160337,0.016613793752135533
AE,AA,07,0.02109704641350211,0.009637999855208294
AE,AA,08,0.029535864978902954,0.016891812003099478
AE,AA,09,0.012658227848101266,0.014670143411136101
AE,AA,10,0.012658227848101266,0.003884782244324979
AE,AA,11,0.0759493670886076,0.01612627362856874
AE,AA,12,0.02109704641350211,0.004293286902098506
AE,AA,13,0.0379746835443038,-0.005731509067858781
AE,AA,14,0.02109704641350211,0.012563318243799554
AE,AA,15,0.004219409282700422,0.02147889340741169
AE,AA,17,0.02109704641350211,-0.00880693521667687
AE,AA,18,0.008438818565400843,-0.032805058766303546
AE,AA,19,0.004219409282700422,0.01962515945442055
AF,AA,10,0.004219409282700422,0.006085686465433292
AG,AA,01,0.004219409282700422,0.008596419591240252
AG,AA,02,0.004219409282700422,-0.009986767533018777
AG,AA,04,0.008438818565400843,-0.01951320419546175
AG,AA,05,0.02109704641350211,0.0034078830568641774
AG,AA,07,0.012658227848101266,-0.015124176642747369
AG,AA,11,0.016877637130801686,-0.00618262837815999
AG,AA,12,0.004219409282700422,-0.0017993216557357808
AG,AA,19,0.012658227848101266,-0.005932385634728185
AJ,AA,04,0.016877637130801686,-0.020632808228363924
AJ,AA,08,0.004219409282700422,0.004944620253164557
AO,AA,04,0.016877637130801686,-0.021665009267195535
AO,AA,17,0.004219409282700422,-0.023605086896226122
AR,AA,01,0.06751054852320675,-0.004413456446688327
AR,AA,02,0.05907172995780591,-0.01399880408214338
AR,AA,03,0.0970464135021097,-0.010242074062301956
AR,AA,04,0.9409282700421941,-0.007548413240504765
AR,AA,05,0.012658227848101266,-0.00943835787785401
AR,AA,06,0.0379746835443038,-0.01864877203302867
AR,AA,07,0.02109704641350211,-0.006027727546714894
AR,AA,08,0.1308016877637131,-0.013888209010607036
AR,AA,09,0.03375527426160337,-0.009306791522279869
AR,AA,10,0.008438818565400843,-0.020671415889172616
AR,AA,11,0.10126582278481013,-0.017039948938347836
AR,AA,12,0.06751054852320675,-0.01213640714983499
AR,AA,13,0.02531645569620253,-0.005531309873373102
AR,AA,14,0.004219409282700422,-0.01865423051299135
AR,AA,15,0.012658227848101266,-0.017573735674651984
AR,AA,16,0.012658227848101266,-0.01822452601607962
AR,AA,17,0.1350210970464135,-0.022385876026211123
AR,AA,19,0.004219409282700422,-0.0039023438452720676
AS,AA,01,0.4810126582278481,0.00493319516254146
AS,AA,02,0.35864978902953587,0.01001478586247496
AS,AA,03,0.379746835443038,0.011187480850824359
AS,AA,04,0.6708860759493671,-0.001337221742905061
AS,AA,05,0.24472573839662448,0.011058846399326857
AS,AA,06,0.10970464135021098,0.006829394976877226
AS,AA,07,0.17721518987341772,-0.007689281621459908
AS,AA,08,0.18565400843881857,0.003770520726947513
AS,AA,09,0.10126582278481013,0.0008064500119839363
AS,AA,10,0.03375527426160337,0.004652374955387615
AS,AA,11,0.09282700421940929,-0.01233561233739002
AS,AA,12,0.10548523206751055,-0.0007457993479687377
AS,AA,13,0.08860759493670886,-0.002836339844164999
AS,AA,14,0.012658227848101266,-0.00026189912764777777
AS,AA,17,0.05063291139240506,-0.004404160842818611
AS,AA,18,0.05063291139240506,-0.030889525470753562
AS,AA,19,0.17721518987341772,-0.0035320422957881145
AU,AA,01,0.03375527426160337,0.0011936970198210186
AU,AA,02,0.008438818565400843,-0.006368942345344704
AU,AA,03,0.004219409282700422,-0.007233273056057847
AU,AA,04,0.02531645569620253,0.006820025685595092
AU,AA,07,0.008438818565400843,-0.011318857790612931
AU,AA,09,0.008438818565400843,-0.014884904125410464
AU,AA,12,0.008438818565400843,-0.03472154707352746
AU,AA,17,0.029535864978902954,-0.04644404380957421
AU,AA,18,0.004219409282700422,-0.05721232925695486
AV,AA,01,0.016877637130801686,0.01775291724194291
AV,AA,03,0.004219409282700422,-0.0042992525442362445
AV,AA,04,0.03375527426160337,0.007755698720131664
AV,AA,05,0.008438818565400843,0.01945324074418312
AV,AA,17,0.004219409282700422,0.019286040199634008
BA,AA,01,0.004219409282700422,0.016901782534422278
BA,AA,02,0.008438818565400843,0.0215275983811246
BA,AA,03,0.004219409282700422,0.016901782534422278
BA,AA,04,0.016877637130801686,0.015210997145678902
BB,AA,01,0.008438818565400843,-0.01097022316361715
BB,AA,02,0.004219409282700422,-0.01680009821595882
