EventLocation,ProtestMentions_Number
NS,256
DQ,1
NE,1
SB,1
MU,3585
BU,6657
TL,2
LQ,2
LA,770
FK,3
NT,4
WI,1285
WA,776
CH,145417
BT,522
MT,2826
PL,47882
NF,13
AN,270
KS,54543
SH,16
MN,528
SC,17
AJ,6929
IR,139027
SF,53267
CQ,20
MJ,2836
MY,19732
MK,29972
IO,21
QA,8213
PC,22
BK,3096
SM,25
GJ,537
MP,4890
TW,12827
YM,44060
DO,799
MI,1567
BN,2335
DJ,4127
HO,13599
BD,290
EI,24866
AV,35
SY,172837
MC,294
PG,39
RP,27687
PF,40
GG,3112
BH,297
TS,27689
FG,298
KR,44
NH,300
GP,2348
GV,5933
BA,32813
GI,814
IT,60718
CI,24623
SN,7729
VI,306
ZA,3123
AO,3891
SA,72755
CW,52
OS,3380
PA,6456
FM,58
RQ,5948
IN,74816
MO,28225
VQ,66
AL,11842
JM,1603
OD,4931
CM,6211
KT,68
BE,35396
LS,69
SL,1350
ID,43336
ZI,29002
NU,35404
FO,77
DA,7501
TV,79
JE,2895
BP,81
FJ,593
CS,1618
GZ,19282
PE,22610
BB,339
ER,2131
AQ,84
LE,37719
GL,600
RE,857
AF,50009
ET,23387
CT,4444
SV,94
TZ,3678
CU,22366
HA,16481
LY,22881
CY,5218
UK,182628
SO,8805
ST,102
OC,358
TI,1382
RM,103
ML,7018
CV,107
NR,4459
RO,38507
GT,15469
NI,24173
GM,165998
KG,2159
BM,14703
VE,141168
BO,15730
AM,28274
US,467571
PM,11379
NL,30323
TN,117
MR,2422
TH,19574
BG,28534
TP,119
AU,18808
UG,9849
EK,634
BX,2170
WZ,379
GR,91261
CA,41087
LT,386
LU,1922
GY,903
CF,13191
EN,3208
GB,3213
UV,5773
TD,1429
AG,10902
GQ,1177
SP,105625
CD,2715
WS,159
LH,2719
NP,18335
JA,56223
FP,160
SG,5025
KV,6051
YI,420
PO,9381
NZ,6054
CJ,167
PP,3497
BF,1194
RB,14506
ES,2987
TU,204459
IM,172
AR,28844
LI,2734
UP,75697
AS,35762
MB,436
AY,436
TK,184
TX,1465
GA,6329
JO,19897
TO,4538
FR,222650
MF,443
BC,699
PS,699
AA,189
DR,1981
GH,4029
IC,5053
FI,14014
MG,1983
RN,192
MH,192
MX,90050
VC,196
PU,452
RS,242116
VM,21958
IS,369095
GK,203
CO,22477
AC,206
SI,3281
KU,8913
EZ,10961
NC,210
BR,67026
AE,8402
NO,8150
TT,471
EG,109530
UY,8412
SZ,25309
BY,23006
KE,34782
HR,8159
HK,19423
LO,7904
RI,9440
LG,2531
SU,15587
MZ,2020
RW,6884
KN,28393
IZ,97514
HU,24043
WE,65003
EC,10735
VT,1264
KZ,3824
MA,1521
MD,13809
SW,34033
IV,7154
CB,10226
CN,243
MV,6899
CG,11764
BL,12021
NG,3318
UZ,2042
CE,10234
SE,252
PK,107517
