EventLocation,InternalMentions_Number
DA,769361
LO,175938
MC,18395
FP,5067
AL,248493
PM,189382
KG,194137
LH,598923
VQ,7506
GP,29
ES,77862
AM,1290398
UG,361517
AS,21992689
NU,183416
RQ,11754
RW,110437
AC,547
MF,1117
LY,238043
AA,84
SH,1449
GY,158807
ET,84257
WE,6
GR,3698016
AF,479611
ST,26348
MJ,6315
VT,5282
KE,1047357
TX,17003
GA,92074
PL,1358130
AE,682335
IT,3637718
SM,5005
BT,28042
HA,89065
BX,46942
OD,57190
BL,565849
BE,492308
MX,4840360
TW,254419
JO,674055
DJ,5496
CM,138921
GG,48241
IZ,1141884
BR,3592662
NO,368288
AG,339082
EZ,864700
FI,491033
JA,518875
MG,38559
PO,727089
GV,133423
MI,150762
FO,156
MR,98679
VM,626340
RE,8577
IN,17764970
AV,7173
EI,1702716
TP,1367
NG,44653
SG,266959
GB,34552
GL,1720
BD,56766
MH,2021
SN,427959
DR,44446
LI,160224
GK,42
CA,9753052
IC,358489
SU,315312
LT,24839
BA,178398
CE,705264
DO,6113
LS,15918
NL,454569
QA,253196
CO,1446398
EC,445836
RP,4247294
TD,185784
CT,12102
TO,97741
KZ,268838
RI,560010
SP,5049596
NI,7674113
CF,23948
SZ,843796
FJ,228170
TU,5888411
SF,2725894
KV,121512
WS,57835
SE,20665
LG,356304
MT,214433
KU,335569
MV,24284
SO,453083
CI,526078
GT,138596
CY,397945
BN,16743
MP,71860
LE,619544
OS,74
GM,2832847
AO,104531
CN,4135
IS,12662870
ZA,204791
US,278625258
BH,155594
BG,1725799
GQ,75568
PA,157661
AJ,670371
CV,6186
UV,1670831
AR,2461334
JM,355256
CS,55980
PK,3274747
UK,17625416
PU,349
TZ,97860
UY,186032
NS,22720
ML,612791
FM,397
VE,3298667
VI,3070
ZI,840499
TH,416571
AN,23489
MK,838266
CW,14270
MD,236628
CH,3104028
SY,1023723
BF,195409
KN,60500
TS,216372
UZ,39576
ER,24623
RS,6097570
IR,1007225
SL,112051
MA,26179
KS,1456688
BC,78505
EN,239216
AU,237405
SW,1007192
ID,3072943
VC,6388
IM,15
HO,382880
LU,86785
UP,6306887
FR,2729575
CB,221557
NZ,1276566
RO,2320445
WZ,31172
MY,1431850
SC,5361
BU,1378426
BP,12560
BY,32667
NP,346715
CG,53965
TI,60934
LA,2586
NC,580
EG,5204488
GH,1630592
JE,16460
BM,132674
CD,6606
TT,282
BB,78675
CU,268805
SA,788086
SI,208702
PP,16299
IV,74296
HK,24150
HR,563204
GJ,16379
MB,2937
WA,120352
OC,2
YM,601612
MN,2330
HU,423755
BO,452265
BK,69243
PE,842996
TK,14
MZ,27160
TN,7122
MU,169149
TV,169
MO,1039027
GI,18828
RB,60551
CJ,26589
